suite,delay_ms,jitter_ms,rate_mbps,loss_pct,loss_correlation_pct,queue_depth_packets,common_link_category,algorithm,n_trials,n_valid_throughput,mean_throughput_mbps,median_throughput_mbps,std_throughput_mbps,sem_throughput_mbps,ci95_throughput_mbps,mean_utilization,median_utilization,std_utilization,sem_utilization,ci95_utilization,mean_retransmits,mean_retransmits_per_second,std_retransmits_per_second,sem_retransmits_per_second,ci95_retransmits_per_second,mean_rtt_ms,p95_rtt_ms,mean_cwnd_bytes,mean_snd_wnd_bytes,mean_convergence_time_s,ci95_convergence_time_s
common_links,20.0,2.0,90.0,0.01,0.0,300,Terrestrial,bbrv3,5,5,83.8791126954505,83.87450138082063,0.03737930966150693,0.01671653547102883,0.04641254308440338,0.9319901410605611,0.9319389042313404,0.0004153256629056252,0.00018573928301142815,0.0005156949231600284,147.6,0.8200002427162341,0.1132163775820087,0.05063190328793094,0.1405767000506242,,,,,3.0000762,1.7414309908511573e-05
common_links,20.0,2.0,90.0,0.01,0.0,300,Terrestrial,cubic,5,5,62.019724673697624,62.168546414128805,1.301956906113371,0.5822528291689617,1.6165930175337337,0.6891080519299736,0.6907616268236534,0.014466187845704094,0.006469475879655118,0.017962144639263676,101.2,0.5622217780472212,0.019798632136368097,0.00885421746368619,0.02458324873740839,,,,,4.4004356,3.2375569190842666
common_links,20.0,2.0,90.0,0.01,0.0,300,Terrestrial,reno,5,5,63.11385994165138,62.1573825337453,2.281387632161426,1.0202675657080467,2.83271688880218,0.7012651104627932,0.6906375837082811,0.025348751468460294,0.011336306285644967,0.031474632097802005,97.8,0.5433339521134044,0.024024298488971578,0.010743992906617185,0.029830106515857154,,,,,5.2001294,8.347573703239672
common_links,20.0,2.0,90.0,0.01,0.0,300,Terrestrial,vegas,5,5,18.635563607892387,18.798789990185476,1.3331469532104157,0.5962014422750441,1.6553205761164143,0.20706181786547098,0.20887544433539418,0.014812743924560164,0.006624460469722708,0.018392450845737925,30.6,0.1700003540710407,0.014487173662733535,0.006478861022343359,0.017988201972742025,,,,,1.4008547999999998,1.1106796574400961
common_links,80.0,8.0,50.0,0.3,0.0,667,LEO,bbrv3,5,5,45.51863940958665,45.50818727577644,0.07187539174533839,0.032143652370400774,0.08924508628697884,0.910372788191733,0.9101637455155288,0.0014375078349067468,0.0006428730474080062,0.0017849017257395513,2121.2,11.784432544411294,0.2933095807092136,0.1311720321835525,0.3641919466948725,,,,,3.6003282000000008,1.8833019704866882
common_links,80.0,8.0,50.0,0.3,0.0,667,LEO,cubic,5,5,2.955810864152908,2.9185395815857853,0.12414909420376923,0.05552116279693062,0.15415146068242813,0.05911621728305816,0.058370791631715706,0.0024829818840753854,0.0011104232559386129,0.0030830292136485643,143.8,0.7988867992577889,0.01900487683763984,0.008499239302594783,0.02359767135959404,,,,,11.0010098,23.046829966114352
common_links,80.0,8.0,50.0,0.3,0.0,667,LEO,reno,5,5,2.9232092872703417,2.9884633493721537,0.12771287563960337,0.057114934306426016,0.15857647978877035,0.05846418574540685,0.05976926698744307,0.0025542575127920656,0.0011422986861285194,0.0031715295957754045,140.8,0.7822256126342676,0.012667063987810355,0.005664883230416704,0.015728237316607552,,,,,4.4009604,4.265488886139892
common_links,80.0,8.0,50.0,0.3,0.0,667,LEO,vegas,5,5,2.763581954300825,2.7495998540844147,0.08723250058194697,0.03901156022970467,0.10831345544589265,0.05527163908601651,0.054991997081688296,0.0017446500116389371,0.0007802312045940925,0.00216626910891785,126.8,0.7044449547591827,0.03672591001214276,0.016424326264538266,0.04560124026334891,,,,,8.2017208,14.728052238659648
common_links,500.0,50.0,20.0,1.0,0.0,1667,Geo 500Ms,bbrv3,5,5,17.02420038825359,17.02780498425805,0.029868908186317263,0.01335778182366107,0.0370871479606039,0.8512100194126795,0.8513902492129025,0.0014934454093158457,0.0006678890911830457,0.0018543573980301733,2683.2,14.906654869671717,0.23630524543511552,0.10567891844653803,0.29341171584348785,,,,,2.4007136000000004,3.8870102679101484
common_links,500.0,50.0,20.0,1.0,0.0,1667,Geo 500Ms,cubic,5,5,0.4427295477121233,0.4369017005506704,0.038423583328183665,0.017183548852189257,0.04770918010058811,0.022136477385606167,0.02184508502753352,0.0019211791664091832,0.0008591774426094628,0.0023854590050294056,83.2,0.4622195323188488,0.03566125146922316,0.015948196489579444,0.04427929208022557,,,,,69.2016168,68.22073611989556
